"|","|__rssi1","|__rssi2","|__rssi3"
"1552358042929","-58","-87","-94"
"1552358044042","-58","-85","-92"
"1552358046296","-55","-94","-87"
"1552358048556","-64","-84","-89"
"1552358055238","-82","-82","-89"
"1552358056349","-89","-84","-95"
"1552358057462","-87","-73","-86"
"1552358060828","-88","-71","-83"
"1552358066403","-85","-73","-80"
"1552358068625","-93","-74","-87"
"1552358071976","-95","-66","-93"
"1552358073104","-94","-61","-89"
"1552358236681","-89","-53","-95"
"1552358242289","-91","-71","-83"
"1552358244544","-79","-75","-99"
"1552358249029","-80","-78","-86"
"1552358254614","-89","-87","-89"
"1552358255726","-95","-81","-83"
"1552358257965","-92","-83","-80"
"1552358259076","-92","-83","-77"
"1552358260188","-87","-88","-76"
"1552358274786","-92","-81","-65"
"1552358412407","-96","-91","-68"
"1552358415775","-96","-86","-68"
"1552358422513","-92","-92","-77"
"1552358429183","-88","-84","-88"
"1552358430298","-82","-80","-83"
"1552358431407","-82","-85","-92"
"1552358433647","-90","-80","-84"
"1552358434774","-79","-78","-86"
"1552358435887","-77","-80","-92"
"1552358437015","-85","-87","-92"
"1552358441528","-85","-68","-85"
"1552358442641","-87","-89","-77"
"1552358443753","-82","-74","-81"
"1552358444879","-82","-80","-81"
"1552358448231","-84","-81","-76"
"1552358449358","-81","-84","-84"
"1552358453854","-94","-86","-86"
"1552358458320","-70","-93","-91"
"1552359206872","-82","-78","-77"
"1552359207998","-86","-80","-76"
"1552359209114","-88","-78","-70"
"1552359210240","-82","-78","-87"
"1552359211369","-84","-81","-89"
"1552359213594","-91","-84","-90"
"1552359214707","-93","-80","-88"
"1552359215819","-89","-73","-91"
"1552359216933","-84","-70","-88"
"1552359218059","-90","-76","-81"
"1552359219171","-89","-87","-82"
"1552359222508","-78","-85","-84"
"1552359280524","-81","-90","-84"
"1552359281638","-86","-79","-83"
"1552359283877","-85","-84","-79"
"1552359286118","-78","-82","-80"
"1552359288342","-94","-90","-86"
"1552359289471","-83","-83","-96"
"1552359291711","-74","-70","-96"
"1552359292840","-87","-76","-85"
"1552359293969","-83","-73","-88"
"1552359295082","-88","-84","-88"
"1552359296213","-93","-78","-92"
"1552359298452","-83","-78","-89"
"1552359402370","-89","-74","-91"
"1552359403482","-86","-73","-90"
"1552359404593","-90","-71","-95"
"1552359406849","-78","-73","-90"
"1552359407962","-75","-78","-94"
"1552359409074","-74","-76","-80"
"1552359410185","-74","-77","-80"
"1552359411314","-77","-78","-92"
"1552359414700","-92","-86","-91"
"1552359415813","-87","-89","-81"
"1552359418036","-87","-87","-86"
"1552359420277","-82","-83","-87"
"1552359422516","-85","-82","-83"
