location,latitude,longitude
Tsinghua University,40.0019396,116.3127775
Yuanmingyuan Park,40.0071803,116.2625018
Beijing University,39.986922,116.305872
Microsoft Research Asia,39.979533,116.310296
Baiwanzhuang South Street No.10 Courtyard,39.926363,116.337917
Beijing Power Supply Training School,39.900761,116.385866
Tianyu Building,39.885065,116.437083
Zizhuyuan Park Amusement Park,39.9422035,116.3174732
Renmin University of China,39.9696076,116.3189478
Yangchun Guanghua Homeland Fengshuyuan,39.965907,116.301157
Beijing Institute of Technology Gymnasium,39.9601427,116.3140528
University of Chinese Academy of Sciences,39.98177,116.3278973
Beihang University,39.9828771,116.3390025
